numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,error
56,Canal del CEIP Santidad,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsantidad,1233,1420,86,
57,Canal del CEIP Tagoror,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptagoror,318,508,86,
58,Canal del IES María Belén Morales Gómez,https://www3.gobiernodecanarias.org/medusa/mediateca/iesmariabelenmoralesgomez,94,162,86,
59,"Canal del Área de Patrimonio Natural, Social y Cultural Canario",https://www3.gobiernodecanarias.org/medusa/mediateca/ensenas,754,1312,111,
60,Canal del Área de Comunicación,https://www3.gobiernodecanarias.org/medusa/mediateca/comunicacion,114,217,86,
61,Mediateca IES EL GALEÓN,https://www3.gobiernodecanarias.org/medusa/mediateca/iesadeje2,189,219,86,
62,CEIP JOSÉ PÉREZ Y PÉREZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjoseperezyperez,493,519,86,
63,MediatecaMagallanes,https://www3.gobiernodecanarias.org/medusa/mediateca/iesmagallanes,171,265,86,
64,CEIP PÉREZ ZAMORA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipperezzamora,71,71,86,
65,CEIPVEINTEDEENERO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipveintedeenero,30,45,87,
66,Amurga,https://www3.gobiernodecanarias.org/medusa/mediateca/iesamurga,0,0,86,
67,CEPGCNOROESTE,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrancanarianoroeste,393,507,92,
68,IES GRAN CANARIA,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgrancanaria,1,1,86,
69,CEIP Fernando Guanarteme,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipfernandoguanarteme,93,128,86,
70,IES El Sobradillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ieselsobradillo,60,95,86,
71,IES Santiago Santana Díaz,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantiagosantanadiaz,56,64,86,
72,canal del Barranco,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipbarrancodelastorres,52,68,86,
73,Ceip Los Quintana ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplosquintana,166,166,86,
74,CEIP PEPE MONAGAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippepemonagas,72,101,86,
75,CEIP Príncipe Felipe,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipprincipefelipe,548,809,86,
76,CEIP Orobal,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiporobal,1,1,0,
77,CEIP ALISIOS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalisios,52,52,86,
78,MEDIATECA CEIP EL CANARIO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipelcanario,524,618,86,
79,CEIP MIRAFLOR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmiraflor,24,31,86,
80,MEDIATECA_IESTEROR,https://www3.gobiernodecanarias.org/medusa/mediateca/iesteror,243,279,86,
