Número,Nombre,URL
80,MediatecaMagallanes,https://www3.gobiernodecanarias.org/medusa/mediateca/iesmagallanes
81,CEIP PÉREZ ZAMORA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipperezzamora
82,CEIPVEINTEDEENERO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipveintedeenero
83,Amurga,https://www3.gobiernodecanarias.org/medusa/mediateca/iesamurga
84,CEPGCNOROESTE,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrancanarianoroeste
85,IES GRAN CANARIA,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgrancanaria
86,CEIP Fernando Guanarteme,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipfernandoguanarteme
87,IES El Sobradillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ieselsobradillo
88,IES Santiago Santana Díaz,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantiagosantanadiaz
89,canal del Barranco,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipbarrancodelastorres
90,Ceip Los Quintana ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplosquintana
91,CEIP PEPE MONAGAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippepemonagas
92,CEIP Príncipe Felipe,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipprincipefelipe
93,CEIP Orobal,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiporobal
94,CEIP ALISIOS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalisios
95,MEDIATECA CEIP EL CANARIO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipelcanario
96,CEIP MIRAFLOR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmiraflor
97,MEDIATECA_IESTEROR,https://www3.gobiernodecanarias.org/medusa/mediateca/iesteror
98,CeipPoetaTomásMoralesCarrizal,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippoetatomasmorales
99,CEAD S/C TENERIFE MERCEDES PINTO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceadsantacruzdetenerifemercedespinto
100,E-Mocán,https://www3.gobiernodecanarias.org/medusa/mediateca/iesarguineguin
101,MediatecaJoséMelián,https://www3.gobiernodecanarias.org/medusa/mediateca/eeijosemelianrodriguez
102,CEIP HUERTAS DEL PALMAR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiphuertasdelpalmar
103,CEIP AYATIMAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipayatimas
104,CEIP San Isidro,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanisidro
105,CEPA La Guancha,https://www3.gobiernodecanarias.org/medusa/mediateca/cepalaguancha
106,MEDIATECA CEIP EL DRAGUILLO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipeldraguillo
112,Escuelas Oficiales de Idiomas de Canarias,https://www3.gobiernodecanarias.org/medusa/mediateca/aeoiadistanciadecanarias
113,Mediateca CEIP Aneja,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippracticasaneja
114,Mediateca del CEIP en ARUCAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipenarucas
115,CEIP Camino de la Villa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcaminodelavilla
116,Canal de PROIDEAC,https://www3.gobiernodecanarias.org/medusa/mediateca/proideac
117,CEIP Luis Cortí,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipluiscorti
118,MediatecaJulianZafra,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjulianzaframoreno
119,MEDIATECA CEIP MARÍA MUÑOZ MAYOR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmariamunozmayor
120,CEIP JUAN ARENCIBIA SOSA ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjuanarencibiasosa
121,Mediateca CEO Tunte,https://www3.gobiernodecanarias.org/medusa/mediateca/ceotunte
122,IES_Tablero_I,https://www3.gobiernodecanarias.org/medusa/mediateca/iestableroiaguanac
123,MEDIATECA CEIP TAGOJA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptagoja
124,mediateca miranda,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmiranda
125,CEIP Las Retamas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasretamas
126,CEIP CHANO SÁNCHEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipchanosanchez
127,LAS LAJAS FM,https://www3.gobiernodecanarias.org/medusa/mediateca/iesbarrancodelaslajas
128,Canal CEO Rey Juan Carlos I,https://www3.gobiernodecanarias.org/medusa/mediateca/ceoreyjuancarlosi
129,IES GUIA,https://www3.gobiernodecanarias.org/medusa/mediateca/iesguia
131,IES TAMOGANTE,https://www3.gobiernodecanarias.org/medusa/mediateca/iestamogante
132,CEIP LA VIÑUELA: NUESTRAS COSITAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplavinuela
135,MediatecaeZerpa,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosezerpa
136,CEIPARB,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalcalderamirezbethencourt
137,CEIP La Cardonera fotos,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplacardonera
138,Mediateca IES Josefina de la Torre,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosefinadelatorre
139,IES LA ALDEA,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslaaldeadesannicolas
140,CeipLasVegas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasvegas
141,Mediateca CEIP La Zafra,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplazafra
142,Mediateca CEE MARENTE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceeemarente
143,Radio Pulido,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosemariaperezpulido
144,CEIP Piedra Molino,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippiedrademolino
145,CEIP Saucillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsaucillo
146,CEP Telde,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofestelde
147,Mediateca CEPA Puerto de la Cruz,https://www3.gobiernodecanarias.org/medusa/mediateca/cepapuertodelacruz
148,Canal del CEIP Carreteria,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcarreteria
149,ESCUELA DE ARTE MANOLO BLAHNIK,https://www3.gobiernodecanarias.org/medusa/mediateca/eamanoloblahnik
150,CEIP ISAAC DE VEGA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipisaacdevega
151,Mediateca IES Roque Amagro,https://www3.gobiernodecanarias.org/medusa/mediateca/iesroqueamagro
152,CEIP Villa de Firgas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipvilladefirgas
